period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024,SWV-Z00,USA-WV,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SWV-Z00_MMCF,West Virginia Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SKY-Z00,USA-KY,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SKY-Z00_MMCF,Kentucky Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SIA-Z00,USA-IA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SIA-Z00_MMCF,Iowa Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,STX-NDR,DOM,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NDR_MMCF,Texas Natural Gas International Deliveries to Dominican Republic (Million Cubic Feet),33109,MMCF
2024,SLA-NKS,KOR,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_SLA-NKS_MMCF,Louisiana Natural Gas International Deliveries to Korea (Million Cubic Feet),180198,MMCF
2024,STX-NKS,KOR,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_STX-NKS_MMCF,Texas Natural Gas International Deliveries to South Korea (Million Cubic Feet),98661,MMCF
2024,SMD-NKS,KOR,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NKS_MMCF,Maryland Natural Gas International Deliveries to South Korea (Million Cubic Feet),10373,MMCF
2024,SLA-NCH,CHN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NCH_MMCF,Louisiana Natural Gas International Deliveries to China (Million Cubic Feet),124199,MMCF
2024,SMD-NCH,CHN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NCH_MMCF,Maryland Natural Gas International Deliveries to China (Million Cubic Feet),7222,MMCF
2024,STX-NCH,CHN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NCH_MMCF,Texas Natural Gas International Deliveries to China (Million Cubic Feet),81415,MMCF
